delta_R,m_mu_mu
[ 4.16117603],[ 57.36773393]
[ 3.16036298],[ 41.3312145]
[ 3.09757107],[ 124.52088894]
[ 2.77828428],[ 16.48161654]
[ 1.83660227],[ 1.53778084]
[ 3.41771853],[ 124.45799551]
[ 3.31135991],[ 127.61843846]
[ 3.05249263],[ 122.98155068]
[ 2.59901122],[ 124.39031495]
[ 3.96548901],[ 4.3071028]
[ 3.40273784],[ 125.10342901]
[ 3.52656303],[ 120.98843467]
[ 2.88620423],[ 44.16715169]
[ 3.93403191],[ 56.70257588]
[ 3.61767767],[ 30.39473871]
[ 3.29731506],[ 124.28279436]
[ 0.6849648],[ 102.62532485]
[ 3.26666035],[ 122.65221805]
[ 4.15764483],[ 37.75948541]
[ 3.74669367],[ 7.65894976]
[ 4.02207909],[ 14.86446479]
[ 2.98264441],[ 125.82705556]
[ 3.10852656],[ 124.85117792]
[ 3.28923057],[ 26.55789265]
[ 5.35327507],[ 2.01055123]
[ 3.16535396],[ 124.43287716]
[ 3.28014665],[ 122.57523082]
[ 2.80647493],[ 12.02064398]
[ 3.4699922],[ 126.08970694]
[ 3.78917744],[ 7.11917034]
[ 1.68807618],[ 4.09032438]
[ 3.16955251],[ 123.69145652]
[ 4.58810707],[ 1.6001888]
[ 3.85730825],[ 7.53837315]
[ 3.60105643],[ 120.13054981]
[ 2.44571962],[ 126.78114266]
[ 2.8824441],[ 124.61681642]
[ 1.54966583],[ 22.94013305]
[ 1.84056502],[ 125.24381809]
[ 3.37973292],[ 52.54850437]
[ 3.15205836],[ 125.93531136]
[ 2.58625985],[ 106.25541779]
[ 3.22853295],[ 123.28679237]
[ 4.46321229],[ 124.3382386]
[ 1.57136937],[ 124.20494383]
[ 2.53418072],[ 24.25637018]
[ 3.27001609],[ 123.4264502]
[ 3.00855812],[ 125.65765865]
[ 4.06060769],[ 35.21299773]
[ 3.02508237],[ 123.62283994]
[ 3.77535584],[ 51.34458099]
[ 4.66793251],[ 124.94561306]
[ 2.80300383],[ 22.2751698]
[ 3.23626903],[ 5.39772034]
[ 1.7294467],[ 125.5523353]
[ 3.92502282],[ 123.47147681]
[ 3.24946181],[ 123.03184388]
[ 2.60141837],[ 35.90481688]
[ 3.60610335],[ 11.77530674]
[ 2.54637952],[ 8.01987643]
[ 1.26251598],[ 123.15060912]
[ 3.15525919],[ 123.8448982]
[ 2.50983903],[ 7.31729852]
[ 2.94735367],[ 125.90287766]
[ 3.93144231],[ 20.95587695]
[ 3.09458283],[ 2.11900633]
[ 2.76531081],[ 19.37879085]
[ 2.99553147],[ 127.74133324]
[ 2.7766226],[ 123.23528594]
[ 3.70088825],[ 126.58262099]
[ 3.73816056],[ 89.75891421]
[ 3.179322],[ 126.07078484]
[ 0.61787779],[ 125.28957047]
[ 3.06572391],[ 36.34227577]
[ 4.80393277],[ 123.12473204]
[ 2.23536246],[ 2.2107307]
[ 2.61888635],[ 2.87899451]
[ 4.09287397],[ 124.21671728]
[ 3.06321651],[ 119.52013453]
[ 3.24841746],[ 5.29212099]
[ 3.30945528],[ 125.58136046]
[ 3.14123409],[ 124.83964552]
[ 3.50724194],[ 6.90995212]
[ 3.17322869],[ 126.9323514]
[ 3.41973893],[ 2.87612888]
[ 2.33726804],[ 40.51852455]
[ 2.61953995],[ 1.85705941]
[ 3.8996028],[ 124.11845081]
[ 4.38562778],[ 70.1023994]
[ 2.94955472],[ 126.33427028]
[ 3.4563654],[ 122.60601194]
[ 2.29042545],[ 119.47908267]
[ 2.56630665],[ 33.02421137]
[ 2.98589499],[ 117.46117842]
[ 2.41648209],[ 5.32990683]
[ 3.52904972],[ 6.59014505]
[ 2.77450404],[ 39.18804357]
[ 3.88040244],[ 35.90690015]
[ 3.7147056],[ 48.28271744]
[ 3.01914288],[ 126.50118093]
[ 3.92196127],[ 126.17012165]
[ 3.10928881],[ 124.72926406]
[ 3.35996692],[ 123.8210997]
[ 3.26726538],[ 123.33559752]
[ 3.17777006],[ 123.90085252]
[ 5.01934712],[ 125.12716022]
[ 2.72402259],[ 122.50005286]
[ 2.25669511],[ 122.8141238]
[ 4.74013206],[ 2.20185349]
[ 3.2373426],[ 110.26819844]
[ 3.03231159],[ 5.70300584]
[ 2.84895044],[ 123.39305865]
[ 1.51892804],[ 17.50330319]
[ 1.08995673],[ 123.47447791]
[ 3.9060288],[ 126.65756647]
[ 2.44880179],[ 124.29380283]
[ 4.36377359],[ 2.45795659]
[ 4.00734023],[ 123.3429009]
[ 3.96986199],[ 7.33785404]
[ 2.89612283],[ 22.16991811]
[ 3.44678414],[ 122.52799722]
[ 3.22438007],[ 123.47152345]
[ 2.35666295],[ 121.80030276]
[ 2.76730995],[ 125.68108633]
[ 3.10245268],[ 124.05287091]
[ 3.91453799],[ 15.05806551]
[ 2.89236308],[ 124.57299147]
[ 2.04707283],[ 19.46454241]
[ 4.03527771],[ 8.80938764]
[ 4.34262327],[ 6.89038894]
[ 2.03893615],[ 15.27661418]
[ 2.40761188],[ 121.7820876]
[ 3.20042868],[ 114.46977717]
[ 2.78487807],[ 25.31889818]
[ 0.9081171],[ 1.11139609]
[ 3.8648848],[ 125.10100364]
[ 3.07700022],[ 2.10814064]
[ 3.73428205],[ 121.92101332]
[ 2.85435973],[ 18.46187839]
[ 3.08197018],[ 124.71826038]
[ 2.54004044],[ 23.02960001]
[ 3.29040897],[ 124.84705421]
[ 2.32284879],[ 125.71572589]
[ 3.6741962],[ 123.91229998]
[ 2.78059028],[ 16.3367199]
[ 3.25236695],[ 124.34151351]
[ 2.62328399],[ 124.61369194]
[ 1.92298032],[ 124.60282325]
[ 5.08965854],[ 122.07564135]
[ 2.78862248],[ 87.4630786]
[ 3.47674734],[ 19.3970034]
[ 3.25484054],[ 4.0967355]
[ 2.5842854],[ 10.30579878]
[ 1.79498863],[ 111.14660325]
[ 2.31923353],[ 124.87915018]
[ 3.69843364],[ 5.91930699]
[ 3.32963514],[ 35.53056989]
[ 3.92988293],[ 124.04025606]
[ 3.84332926],[ 12.06686999]
[ 2.1728984],[ 125.19787896]
[ 3.35513712],[ 125.94294268]
[ 3.37865915],[ 21.26445209]
[ 3.12980779],[ 123.98138822]
[ 3.70888854],[ 2.37377692]
[ 3.43042033],[ 6.52584992]
[ 3.13861502],[ 124.37652218]
[ 3.62614168],[ 114.01101284]
[ 4.26888984],[ 127.31856616]
[ 1.83919256],[ 124.55967418]
[ 3.75475284],[ 60.38168065]
[ 3.46623425],[ 34.14934321]
[ 2.96256014],[ 125.08533554]
[ 3.4892831],[ 131.06330063]
[ 2.68175163],[ 92.66651547]
[ 5.09150023],[ 123.68770905]
[ 3.38826557],[ 126.11812449]
[ 2.98007347],[ 10.12244241]
[ 3.5129242],[ 103.2624265]
[ 2.945984],[ 3.39850769]
[ 3.55015],[ 34.57714464]
[ 4.22938992],[ 50.51892643]
[ 5.10497933],[ 122.77915721]
[ 2.85519322],[ 18.94901143]
[ 2.96760152],[ 122.706299]
[ 3.52940795],[ 9.41266504]
[ 2.12409792],[ 117.91836205]
[ 3.47474299],[ 123.86239022]
[ 3.17748116],[ 40.12330669]
[ 4.10173545],[ 1.85972335]
[ 3.19108769],[ 17.99843916]
[ 2.04693042],[ 3.96582966]
[ 1.18398038],[ 130.49654014]
[ 3.36241822],[ 125.53145961]
[ 3.34720785],[ 5.5857321]
[ 3.36292679],[ 2.15975926]
[ 1.6289435],[ 47.86569713]
[ 3.41548381],[ 120.01201406]
[ 2.87534582],[ 125.19552491]
[ 3.45663401],[ 30.949456]
[ 3.04643055],[ 122.28722669]
[ 3.18733931],[ 16.62369554]
[ 2.39806377],[ 123.63990328]
[ 2.69268302],[ 124.01667433]
[ 3.32128489],[ 124.28490619]
[ 3.10952253],[ 124.92968026]
[ 3.1529916],[ 125.52060839]
[ 3.5769589],[ 24.2741995]
[ 4.00586073],[ 126.57340316]
[ 1.89839407],[ 50.69665597]
[ 3.20920055],[ 125.51763493]
[ 3.35161175],[ 3.42858714]
[ 3.15264754],[ 124.88973711]
[ 3.30590932],[ 26.0486776]
[ 3.43254823],[ 5.86088963]
[ 2.81652591],[ 33.27584962]
[ 2.9255954],[ 21.53454976]
[ 3.12281296],[ 125.9636668]
[ 1.94834836],[ 2.59449578]
[ 4.07949159],[ 10.13824256]
[ 3.09685271],[ 20.09141389]
[ 3.49425031],[ 32.91539773]
[ 3.635137],[ 19.44025979]
[ 4.42891582],[ 9.30142123]
[ 1.46727336],[ 1.88684891]
[ 1.05865341],[ 125.11364129]
[ 3.91250715],[ 126.85731703]
[ 3.75655158],[ 124.25330277]
[ 1.02736831],[ 125.38404107]
[ 2.90191033],[ 81.58122948]
[ 2.92668612],[ 9.53318236]
[ 1.37694752],[ 126.63933516]
[ 3.20247714],[ 122.92260275]
[ 3.46915143],[ 31.52910702]
[ 2.66696774],[ 7.16838967]
[ 3.49617832],[ 122.39622631]
[ 3.3200677],[ 121.79623996]
[ 3.012207],[ 18.95839861]
[ 3.49097257],[ 124.21512861]
[ 3.49748608],[ 126.0759113]
[ 2.2361609],[ 125.71285311]
